country,alpha_2_code,alpha_3_code,numeric_code,indicator,time_period,obs_value,sex,unit_multiplier,unit_of_measure,observation_status,observation_confidentaility,time_period_activity_related_to_when_the_data_are_collected,current_age
Peru,PE,PER,604,Percentage of adolescents (aged 15-19 years) in the labour force who are unemployed,2024,9.8,Female,,%,Reanalysed,Free,End of fieldwork,15 to 19 years old
Peru,PE,PER,604,Percentage of adolescents (aged 15-19 years) in the labour force who are unemployed,2024,8.8,Male,,%,Reanalysed,Free,End of fieldwork,15 to 19 years old
Peru,PE,PER,604,Percentage of adolescents (aged 15-19 years) in the labour force who are unemployed,2024,9.3,Total,,%,Reanalysed,Free,End of fieldwork,15 to 19 years old
Philippines,PH,PHL,608,Percentage of adolescents (aged 15-19 years) in the labour force who are unemployed,2022,5.7,Female,,%,Reanalysed,Free,End of fieldwork,15 to 19 years old
Philippines,PH,PHL,608,Percentage of adolescents (aged 15-19 years) in the labour force who are unemployed,2022,4,Male,,%,Reanalysed,Free,End of fieldwork,15 to 19 years old
Philippines,PH,PHL,608,Percentage of adolescents (aged 15-19 years) in the labour force who are unemployed,2022,4.6,Total,,%,Reanalysed,Free,End of fieldwork,15 to 19 years old
Poland,PL,POL,616,Percentage of adolescents (aged 15-19 years) in the labour force who are unemployed,2024,21,Total,,%,Reanalysed,Free,End of fieldwork,15 to 19 years old
Portugal,PT,PRT,620,Percentage of adolescents (aged 15-19 years) in the labour force who are unemployed,2024,38.1,Male,,%,Reanalysed,Free,End of fieldwork,15 to 19 years old
Portugal,PT,PRT,620,Percentage of adolescents (aged 15-19 years) in the labour force who are unemployed,2024,38.4,Total,,%,Reanalysed,Free,End of fieldwork,15 to 19 years old
Qatar,QA,QAT,634,Percentage of adolescents (aged 15-19 years) in the labour force who are unemployed,2022,0,Female,,%,Reanalysed,Free,End of fieldwork,15 to 19 years old
Qatar,QA,QAT,634,Percentage of adolescents (aged 15-19 years) in the labour force who are unemployed,2022,0,Male,,%,Reanalysed,Free,End of fieldwork,15 to 19 years old
Qatar,QA,QAT,634,Percentage of adolescents (aged 15-19 years) in the labour force who are unemployed,2022,0,Total,,%,Reanalysed,Free,End of fieldwork,15 to 19 years old
"Korea, Republic of",KR,KOR,410,Percentage of adolescents (aged 15-19 years) in the labour force who are unemployed,2024,6.4,Female,,%,Reanalysed,Free,End of fieldwork,15 to 19 years old
"Korea, Republic of",KR,KOR,410,Percentage of adolescents (aged 15-19 years) in the labour force who are unemployed,2024,10.3,Male,,%,Reanalysed,Free,End of fieldwork,15 to 19 years old
"Korea, Republic of",KR,KOR,410,Percentage of adolescents (aged 15-19 years) in the labour force who are unemployed,2024,8.1,Total,,%,Reanalysed,Free,End of fieldwork,15 to 19 years old
"Moldova, Republic of",MD,MDA,498,Percentage of adolescents (aged 15-19 years) in the labour force who are unemployed,2024,3.4,Total,,%,Reanalysed,Free,End of fieldwork,15 to 19 years old
Romania,RO,ROU,642,Percentage of adolescents (aged 15-19 years) in the labour force who are unemployed,2024,53.2,Female,,%,Reanalysed,Free,End of fieldwork,15 to 19 years old
Romania,RO,ROU,642,Percentage of adolescents (aged 15-19 years) in the labour force who are unemployed,2024,46.3,Male,,%,Reanalysed,Free,End of fieldwork,15 to 19 years old
Romania,RO,ROU,642,Percentage of adolescents (aged 15-19 years) in the labour force who are unemployed,2024,49,Total,,%,Reanalysed,Free,End of fieldwork,15 to 19 years old
Russia,RU,RUS,643,Percentage of adolescents (aged 15-19 years) in the labour force who are unemployed,2023,21,Female,,%,Reanalysed,Free,End of fieldwork,15 to 19 years old
Russia,RU,RUS,643,Percentage of adolescents (aged 15-19 years) in the labour force who are unemployed,2023,18.1,Male,,%,Reanalysed,Free,End of fieldwork,15 to 19 years old
Russia,RU,RUS,643,Percentage of adolescents (aged 15-19 years) in the labour force who are unemployed,2023,19.3,Total,,%,Reanalysed,Free,End of fieldwork,15 to 19 years old
Rwanda,RW,RWA,646,Percentage of adolescents (aged 15-19 years) in the labour force who are unemployed,2024,18.5,Female,,%,Reanalysed,Free,End of fieldwork,15 to 19 years old
Rwanda,RW,RWA,646,Percentage of adolescents (aged 15-19 years) in the labour force who are unemployed,2024,17,Male,,%,Reanalysed,Free,End of fieldwork,15 to 19 years old
Rwanda,RW,RWA,646,Percentage of adolescents (aged 15-19 years) in the labour force who are unemployed,2024,17.7,Total,,%,Reanalysed,Free,End of fieldwork,15 to 19 years old
Réunion,RE,REU,638,Percentage of adolescents (aged 15-19 years) in the labour force who are unemployed,2016,56,Female,,%,Reanalysed,Free,End of fieldwork,15 to 19 years old
Réunion,RE,REU,638,Percentage of adolescents (aged 15-19 years) in the labour force who are unemployed,2016,53.7,Male,,%,Reanalysed,Free,End of fieldwork,15 to 19 years old
Réunion,RE,REU,638,Percentage of adolescents (aged 15-19 years) in the labour force who are unemployed,2016,54.6,Total,,%,Reanalysed,Free,End of fieldwork,15 to 19 years old
Saint Lucia,LC,LCA,662,Percentage of adolescents (aged 15-19 years) in the labour force who are unemployed,2024,31,Female,,%,Reanalysed,Free,End of fieldwork,15 to 19 years old
Saint Lucia,LC,LCA,662,Percentage of adolescents (aged 15-19 years) in the labour force who are unemployed,2024,55.7,Male,,%,Reanalysed,Free,End of fieldwork,15 to 19 years old
Saint Lucia,LC,LCA,662,Percentage of adolescents (aged 15-19 years) in the labour force who are unemployed,2024,43,Total,,%,Reanalysed,Free,End of fieldwork,15 to 19 years old
Samoa,WS,WSM,882,Percentage of adolescents (aged 15-19 years) in the labour force who are unemployed,2022,37.3,Female,,%,Reanalysed,Free,End of fieldwork,15 to 19 years old
Samoa,WS,WSM,882,Percentage of adolescents (aged 15-19 years) in the labour force who are unemployed,2022,15.9,Total,,%,Reanalysed,Free,End of fieldwork,15 to 19 years old
San Marino,SM,SMR,674,Percentage of adolescents (aged 15-19 years) in the labour force who are unemployed,2022,20.2,Female,,%,Reanalysed,Free,End of fieldwork,16 to 19 years old
San Marino,SM,SMR,674,Percentage of adolescents (aged 15-19 years) in the labour force who are unemployed,2022,12.5,Male,,%,Reanalysed,Free,End of fieldwork,16 to 19 years old
San Marino,SM,SMR,674,Percentage of adolescents (aged 15-19 years) in the labour force who are unemployed,2022,15.5,Total,,%,Reanalysed,Free,End of fieldwork,16 to 19 years old
Sao Tome and Principe,ST,STP,678,Percentage of adolescents (aged 15-19 years) in the labour force who are unemployed,2017,9.4,Female,,%,Reanalysed,Free,End of fieldwork,9 to 19 years old
Sao Tome and Principe,ST,STP,678,Percentage of adolescents (aged 15-19 years) in the labour force who are unemployed,2017,8.7,Male,,%,Reanalysed,Free,End of fieldwork,9 to 19 years old
Sao Tome and Principe,ST,STP,678,Percentage of adolescents (aged 15-19 years) in the labour force who are unemployed,2017,9,Total,,%,Reanalysed,Free,End of fieldwork,9 to 19 years old
Senegal,SN,SEN,686,Percentage of adolescents (aged 15-19 years) in the labour force who are unemployed,2022,4.1,Female,,%,Reanalysed,Free,End of fieldwork,15 to 19 years old
Senegal,SN,SEN,686,Percentage of adolescents (aged 15-19 years) in the labour force who are unemployed,2022,2.3,Male,,%,Reanalysed,Free,End of fieldwork,15 to 19 years old
Senegal,SN,SEN,686,Percentage of adolescents (aged 15-19 years) in the labour force who are unemployed,2022,2.8,Total,,%,Reanalysed,Free,End of fieldwork,15 to 19 years old
Serbia,RS,SRB,688,Percentage of adolescents (aged 15-19 years) in the labour force who are unemployed,2024,33.9,Female,,%,Reanalysed,Free,End of fieldwork,15 to 19 years old
Serbia,RS,SRB,688,Percentage of adolescents (aged 15-19 years) in the labour force who are unemployed,2024,30.6,Male,,%,Reanalysed,Free,End of fieldwork,15 to 19 years old
Serbia,RS,SRB,688,Percentage of adolescents (aged 15-19 years) in the labour force who are unemployed,2024,31.7,Total,,%,Reanalysed,Free,End of fieldwork,15 to 19 years old
Seychelles,SC,SYC,690,Percentage of adolescents (aged 15-19 years) in the labour force who are unemployed,2023,16.1,Male,,%,Reanalysed,Free,End of fieldwork,15 to 19 years old
Seychelles,SC,SYC,690,Percentage of adolescents (aged 15-19 years) in the labour force who are unemployed,2023,15,Total,,%,Reanalysed,Free,End of fieldwork,15 to 19 years old
Sierra Leone,SL,SLE,694,Percentage of adolescents (aged 15-19 years) in the labour force who are unemployed,2018,1.9,Total,,%,Reanalysed,Free,End of fieldwork,15 to 19 years old
Singapore,SG,SGP,702,Percentage of adolescents (aged 15-19 years) in the labour force who are unemployed,2024,8.3,Female,,%,Reanalysed,Free,End of fieldwork,15 to 19 years old
Singapore,SG,SGP,702,Percentage of adolescents (aged 15-19 years) in the labour force who are unemployed,2024,4.4,Male,,%,Reanalysed,Free,End of fieldwork,15 to 19 years old
Singapore,SG,SGP,702,Percentage of adolescents (aged 15-19 years) in the labour force who are unemployed,2024,5.8,Total,,%,Reanalysed,Free,End of fieldwork,15 to 19 years old
Solomon Islands,SB,SLB,90,Percentage of adolescents (aged 15-19 years) in the labour force who are unemployed,2013,1.2,Total,,%,Reanalysed,Free,End of fieldwork,15 to 19 years old
Somalia,SO,SOM,706,Percentage of adolescents (aged 15-19 years) in the labour force who are unemployed,2019,36.7,Female,,%,Reanalysed,Free,End of fieldwork,15 to 19 years old
Somalia,SO,SOM,706,Percentage of adolescents (aged 15-19 years) in the labour force who are unemployed,2019,40,Male,,%,Reanalysed,Free,End of fieldwork,15 to 19 years old
Somalia,SO,SOM,706,Percentage of adolescents (aged 15-19 years) in the labour force who are unemployed,2019,38.6,Total,,%,Reanalysed,Free,End of fieldwork,15 to 19 years old
South Africa,ZA,ZAF,710,Percentage of adolescents (aged 15-19 years) in the labour force who are unemployed,2024,79.4,Female,,%,Reanalysed,Free,End of fieldwork,15 to 19 years old
South Africa,ZA,ZAF,710,Percentage of adolescents (aged 15-19 years) in the labour force who are unemployed,2024,66.2,Male,,%,Reanalysed,Free,End of fieldwork,15 to 19 years old
South Africa,ZA,ZAF,710,Percentage of adolescents (aged 15-19 years) in the labour force who are unemployed,2024,72.4,Total,,%,Reanalysed,Free,End of fieldwork,15 to 19 years old
Spain,ES,ESP,724,Percentage of adolescents (aged 15-19 years) in the labour force who are unemployed,2024,44.3,Female,,%,Reanalysed,Free,End of fieldwork,16 to 19 years old
Spain,ES,ESP,724,Percentage of adolescents (aged 15-19 years) in the labour force who are unemployed,2024,37.9,Male,,%,Reanalysed,Free,End of fieldwork,16 to 19 years old
Spain,ES,ESP,724,Percentage of adolescents (aged 15-19 years) in the labour force who are unemployed,2024,40.6,Total,,%,Reanalysed,Free,End of fieldwork,16 to 19 years old
Sri Lanka,LK,LKA,144,Percentage of adolescents (aged 15-19 years) in the labour force who are unemployed,2022,26.5,Female,,%,Reanalysed,Free,End of fieldwork,15 to 19 years old
Sri Lanka,LK,LKA,144,Percentage of adolescents (aged 15-19 years) in the labour force who are unemployed,2022,26.3,Male,,%,Reanalysed,Free,End of fieldwork,15 to 19 years old
Sri Lanka,LK,LKA,144,Percentage of adolescents (aged 15-19 years) in the labour force who are unemployed,2022,26.4,Total,,%,Reanalysed,Free,End of fieldwork,15 to 19 years old
"Palestinian Territory, Occupied",PS,PSE,275,Percentage of adolescents (aged 15-19 years) in the labour force who are unemployed,2024,27.5,Female,,%,Reanalysed,Free,End of fieldwork,15 to 19 years old
"Palestinian Territory, Occupied",PS,PSE,275,Percentage of adolescents (aged 15-19 years) in the labour force who are unemployed,2024,45.2,Male,,%,Reanalysed,Free,End of fieldwork,15 to 19 years old
"Palestinian Territory, Occupied",PS,PSE,275,Percentage of adolescents (aged 15-19 years) in the labour force who are unemployed,2024,44.7,Total,,%,Reanalysed,Free,End of fieldwork,15 to 19 years old
Sudan,SD,SDN,736,Percentage of adolescents (aged 15-19 years) in the labour force who are unemployed,2022,10.7,Male,,%,Reanalysed,Free,End of fieldwork,15 to 19 years old
Sudan,SD,SDN,736,Percentage of adolescents (aged 15-19 years) in the labour force who are unemployed,2022,10.1,Total,,%,Reanalysed,Free,End of fieldwork,15 to 19 years old
Suriname,SR,SUR,740,Percentage of adolescents (aged 15-19 years) in the labour force who are unemployed,2016,61.6,Female,,%,Reanalysed,Free,End of fieldwork,15 to 19 years old
Suriname,SR,SUR,740,Percentage of adolescents (aged 15-19 years) in the labour force who are unemployed,2016,23.3,Male,,%,Reanalysed,Free,End of fieldwork,15 to 19 years old
Suriname,SR,SUR,740,Percentage of adolescents (aged 15-19 years) in the labour force who are unemployed,2016,35.7,Total,,%,Reanalysed,Free,End of fieldwork,15 to 19 years old
Sweden,SE,SWE,752,Percentage of adolescents (aged 15-19 years) in the labour force who are unemployed,2024,35.7,Female,,%,Reanalysed,Free,End of fieldwork,15 to 19 years old
Sweden,SE,SWE,752,Percentage of adolescents (aged 15-19 years) in the labour force who are unemployed,2024,40.2,Male,,%,Reanalysed,Free,End of fieldwork,15 to 19 years old
Sweden,SE,SWE,752,Percentage of adolescents (aged 15-19 years) in the labour force who are unemployed,2024,37.8,Total,,%,Reanalysed,Free,End of fieldwork,15 to 19 years old
Switzerland,CH,CHE,756,Percentage of adolescents (aged 15-19 years) in the labour force who are unemployed,2024,11.1,Female,,%,Reanalysed,Free,End of fieldwork,15 to 19 years old
Switzerland,CH,CHE,756,Percentage of adolescents (aged 15-19 years) in the labour force who are unemployed,2024,8.9,Male,,%,Reanalysed,Free,End of fieldwork,15 to 19 years old
Switzerland,CH,CHE,756,Percentage of adolescents (aged 15-19 years) in the labour force who are unemployed,2024,9.9,Total,,%,Reanalysed,Free,End of fieldwork,15 to 19 years old
Syrian Arab Republic,SY,SYR,760,Percentage of adolescents (aged 15-19 years) in the labour force who are unemployed,2010,27.2,Female,,%,Reanalysed,Free,End of fieldwork,15 to 19 years old
Syrian Arab Republic,SY,SYR,760,Percentage of adolescents (aged 15-19 years) in the labour force who are unemployed,2010,19,Male,,%,Reanalysed,Free,End of fieldwork,15 to 19 years old
Syrian Arab Republic,SY,SYR,760,Percentage of adolescents (aged 15-19 years) in the labour force who are unemployed,2010,19.7,Total,,%,Reanalysed,Free,End of fieldwork,15 to 19 years old
Thailand,TH,THA,764,Percentage of adolescents (aged 15-19 years) in the labour force who are unemployed,2024,6.6,Female,,%,Reanalysed,Free,End of fieldwork,15 to 19 years old
Thailand,TH,THA,764,Percentage of adolescents (aged 15-19 years) in the labour force who are unemployed,2024,4.7,Male,,%,Reanalysed,Free,End of fieldwork,15 to 19 years old
Thailand,TH,THA,764,Percentage of adolescents (aged 15-19 years) in the labour force who are unemployed,2024,5.3,Total,,%,Reanalysed,Free,End of fieldwork,15 to 19 years old
Timor-Leste,TL,TLS,626,Percentage of adolescents (aged 15-19 years) in the labour force who are unemployed,2022,2.5,Female,,%,Reanalysed,Free,End of fieldwork,15 to 19 years old
Timor-Leste,TL,TLS,626,Percentage of adolescents (aged 15-19 years) in the labour force who are unemployed,2022,2.3,Male,,%,Reanalysed,Free,End of fieldwork,15 to 19 years old
Timor-Leste,TL,TLS,626,Percentage of adolescents (aged 15-19 years) in the labour force who are unemployed,2022,2.4,Total,,%,Reanalysed,Free,End of fieldwork,15 to 19 years old
Togo,TG,TGO,768,Percentage of adolescents (aged 15-19 years) in the labour force who are unemployed,2022,1.9,Total,,%,Reanalysed,Free,End of fieldwork,15 to 19 years old
Trinidad and Tobago,TT,TTO,780,Percentage of adolescents (aged 15-19 years) in the labour force who are unemployed,2023,14.1,Total,,%,Reanalysed,Free,End of fieldwork,15 to 19 years old
Tunisia,TN,TUN,788,Percentage of adolescents (aged 15-19 years) in the labour force who are unemployed,2023,33.8,Female,,%,Reanalysed,Free,End of fieldwork,15 to 19 years old
Tunisia,TN,TUN,788,Percentage of adolescents (aged 15-19 years) in the labour force who are unemployed,2023,42.7,Male,,%,Reanalysed,Free,End of fieldwork,15 to 19 years old
Tunisia,TN,TUN,788,Percentage of adolescents (aged 15-19 years) in the labour force who are unemployed,2023,40.5,Total,,%,Reanalysed,Free,End of fieldwork,15 to 19 years old
Tuvalu,TV,TUV,798,Percentage of adolescents (aged 15-19 years) in the labour force who are unemployed,2022,34.1,Female,,%,Reanalysed,Free,End of fieldwork,15 to 19 years old
Tuvalu,TV,TUV,798,Percentage of adolescents (aged 15-19 years) in the labour force who are unemployed,2022,30.5,Male,,%,Reanalysed,Free,End of fieldwork,15 to 19 years old
Tuvalu,TV,TUV,798,Percentage of adolescents (aged 15-19 years) in the labour force who are unemployed,2022,31.7,Total,,%,Reanalysed,Free,End of fieldwork,15 to 19 years old
Turkey,TR,TUR,792,Percentage of adolescents (aged 15-19 years) in the labour force who are unemployed,2024,18.7,Female,,%,Reanalysed,Free,End of fieldwork,15 to 19 years old
Turkey,TR,TUR,792,Percentage of adolescents (aged 15-19 years) in the labour force who are unemployed,2024,11.9,Male,,%,Reanalysed,Free,End of fieldwork,15 to 19 years old
Turkey,TR,TUR,792,Percentage of adolescents (aged 15-19 years) in the labour force who are unemployed,2024,13.9,Total,,%,Reanalysed,Free,End of fieldwork,15 to 19 years old
Uganda,UG,UGA,800,Percentage of adolescents (aged 15-19 years) in the labour force who are unemployed,2021,3.8,Female,,%,Reanalysed,Free,End of fieldwork,15 to 19 years old
Uganda,UG,UGA,800,Percentage of adolescents (aged 15-19 years) in the labour force who are unemployed,2021,2.5,Male,,%,Reanalysed,Free,End of fieldwork,15 to 19 years old
Uganda,UG,UGA,800,Percentage of adolescents (aged 15-19 years) in the labour force who are unemployed,2021,3.2,Total,,%,Reanalysed,Free,End of fieldwork,15 to 19 years old
United Arab Emirates,AE,ARE,784,Percentage of adolescents (aged 15-19 years) in the labour force who are unemployed,2023,37.2,Female,,%,Reanalysed,Free,End of fieldwork,15 to 19 years old
United Arab Emirates,AE,ARE,784,Percentage of adolescents (aged 15-19 years) in the labour force who are unemployed,2023,14.4,Male,,%,Reanalysed,Free,End of fieldwork,15 to 19 years old
United Arab Emirates,AE,ARE,784,Percentage of adolescents (aged 15-19 years) in the labour force who are unemployed,2023,18.3,Total,,%,Reanalysed,Free,End of fieldwork,15 to 19 years old
United Kingdom,GB,GBR,826,Percentage of adolescents (aged 15-19 years) in the labour force who are unemployed,2024,19.4,Female,,%,Reanalysed,Free,End of fieldwork,15 to 19 years old
United Kingdom,GB,GBR,826,Percentage of adolescents (aged 15-19 years) in the labour force who are unemployed,2024,23.8,Male,,%,Reanalysed,Free,End of fieldwork,15 to 19 years old
United Kingdom,GB,GBR,826,Percentage of adolescents (aged 15-19 years) in the labour force who are unemployed,2024,21.6,Total,,%,Reanalysed,Free,End of fieldwork,15 to 19 years old
"Tanzania, United Republic of",TZ,TZA,834,Percentage of adolescents (aged 15-19 years) in the labour force who are unemployed,2020,2.2,Female,,%,Reanalysed,Free,End of fieldwork,15 to 19 years old
"Tanzania, United Republic of",TZ,TZA,834,Percentage of adolescents (aged 15-19 years) in the labour force who are unemployed,2020,1.1,Male,,%,Reanalysed,Free,End of fieldwork,15 to 19 years old
"Tanzania, United Republic of",TZ,TZA,834,Percentage of adolescents (aged 15-19 years) in the labour force who are unemployed,2020,1.7,Total,,%,Reanalysed,Free,End of fieldwork,15 to 19 years old
United States,US,USA,840,Percentage of adolescents (aged 15-19 years) in the labour force who are unemployed,2024,11.4,Female,,%,Reanalysed,Free,End of fieldwork,16 to 19 years old
United States,US,USA,840,Percentage of adolescents (aged 15-19 years) in the labour force who are unemployed,2024,14,Male,,%,Reanalysed,Free,End of fieldwork,16 to 19 years old
United States,US,USA,840,Percentage of adolescents (aged 15-19 years) in the labour force who are unemployed,2024,12.7,Total,,%,Reanalysed,Free,End of fieldwork,16 to 19 years old
Uruguay,UY,URY,858,Percentage of adolescents (aged 15-19 years) in the labour force who are unemployed,2023,45.9,Female,,%,Reanalysed,Free,End of fieldwork,15 to 19 years old
Uruguay,UY,URY,858,Percentage of adolescents (aged 15-19 years) in the labour force who are unemployed,2023,37.7,Male,,%,Reanalysed,Free,End of fieldwork,15 to 19 years old
Uruguay,UY,URY,858,Percentage of adolescents (aged 15-19 years) in the labour force who are unemployed,2023,40.7,Total,,%,Reanalysed,Free,End of fieldwork,15 to 19 years old
Uzbekistan,UZ,UZB,860,Percentage of adolescents (aged 15-19 years) in the labour force who are unemployed,2020,20.7,Female,,%,Reanalysed,Free,End of fieldwork,15 to 19 years old
Uzbekistan,UZ,UZB,860,Percentage of adolescents (aged 15-19 years) in the labour force who are unemployed,2020,22,Male,,%,Reanalysed,Free,End of fieldwork,15 to 19 years old
Uzbekistan,UZ,UZB,860,Percentage of adolescents (aged 15-19 years) in the labour force who are unemployed,2020,21.4,Total,,%,Reanalysed,Free,End of fieldwork,15 to 19 years old
Vanuatu,VU,VUT,548,Percentage of adolescents (aged 15-19 years) in the labour force who are unemployed,2020,11.2,Female,,%,Reanalysed,Free,End of fieldwork,15 to 19 years old
Vanuatu,VU,VUT,548,Percentage of adolescents (aged 15-19 years) in the labour force who are unemployed,2020,9.6,Male,,%,Reanalysed,Free,End of fieldwork,15 to 19 years old
Vanuatu,VU,VUT,548,Percentage of adolescents (aged 15-19 years) in the labour force who are unemployed,2020,10.3,Total,,%,Reanalysed,Free,End of fieldwork,15 to 19 years old
"Venezuela, Bolivarian Republic of",VE,VEN,862,Percentage of adolescents (aged 15-19 years) in the labour force who are unemployed,2020,23.9,Female,,%,Reanalysed,Free,End of fieldwork,10 to 19 years old
"Venezuela, Bolivarian Republic of",VE,VEN,862,Percentage of adolescents (aged 15-19 years) in the labour force who are unemployed,2020,21.3,Male,,%,Reanalysed,Free,End of fieldwork,10 to 19 years old
"Venezuela, Bolivarian Republic of",VE,VEN,862,Percentage of adolescents (aged 15-19 years) in the labour force who are unemployed,2020,22.2,Total,,%,Reanalysed,Free,End of fieldwork,10 to 19 years old
Viet Nam,VN,VNM,704,Percentage of adolescents (aged 15-19 years) in the labour force who are unemployed,2023,6.3,Female,,%,Reanalysed,Free,End of fieldwork,15 to 19 years old
Viet Nam,VN,VNM,704,Percentage of adolescents (aged 15-19 years) in the labour force who are unemployed,2023,6.7,Male,,%,Reanalysed,Free,End of fieldwork,15 to 19 years old
Viet Nam,VN,VNM,704,Percentage of adolescents (aged 15-19 years) in the labour force who are unemployed,2023,6.5,Total,,%,Reanalysed,Free,End of fieldwork,15 to 19 years old
Yemen,YE,YEM,887,Percentage of adolescents (aged 15-19 years) in the labour force who are unemployed,2014,29.2,Female,,%,Reanalysed,Free,End of fieldwork,15 to 19 years old
Yemen,YE,YEM,887,Percentage of adolescents (aged 15-19 years) in the labour force who are unemployed,2014,25.4,Male,,%,Reanalysed,Free,End of fieldwork,15 to 19 years old
Yemen,YE,YEM,887,Percentage of adolescents (aged 15-19 years) in the labour force who are unemployed,2014,25.8,Total,,%,Reanalysed,Free,End of fieldwork,15 to 19 years old
Zambia,ZM,ZMB,894,Percentage of adolescents (aged 15-19 years) in the labour force who are unemployed,2023,7,Female,,%,Reanalysed,Free,End of fieldwork,15 to 19 years old
Zambia,ZM,ZMB,894,Percentage of adolescents (aged 15-19 years) in the labour force who are unemployed,2023,8.5,Male,,%,Reanalysed,Free,End of fieldwork,15 to 19 years old
Zambia,ZM,ZMB,894,Percentage of adolescents (aged 15-19 years) in the labour force who are unemployed,2023,7.8,Total,,%,Reanalysed,Free,End of fieldwork,15 to 19 years old
Zimbabwe,ZW,ZWE,716,Percentage of adolescents (aged 15-19 years) in the labour force who are unemployed,2023,13.9,Female,,%,Reanalysed,Free,End of fieldwork,15 to 19 years old
Zimbabwe,ZW,ZWE,716,Percentage of adolescents (aged 15-19 years) in the labour force who are unemployed,2023,12,Male,,%,Reanalysed,Free,End of fieldwork,15 to 19 years old
Zimbabwe,ZW,ZWE,716,Percentage of adolescents (aged 15-19 years) in the labour force who are unemployed,2023,12.8,Total,,%,Reanalysed,Free,End of fieldwork,15 to 19 years old
