country,alpha_2_code,alpha_3_code,numeric_code,indicator,time_period,obs_value,sex,unit_multiplier,unit_of_measure,observation_status,observation_confidentaility,time_period_activity_related_to_when_the_data_are_collected,current_age
Belarus,BY,BLR,112,Percentage of adolescents (aged 15-19 years) in the labour force who are unemployed,2023,31,Male,,%,Reanalysed,Free,End of fieldwork,15 to 19 years old
Belarus,BY,BLR,112,Percentage of adolescents (aged 15-19 years) in the labour force who are unemployed,2023,31.1,Total,,%,Reanalysed,Free,End of fieldwork,15 to 19 years old
Belgium,BE,BEL,56,Percentage of adolescents (aged 15-19 years) in the labour force who are unemployed,2024,21.3,Female,,%,Reanalysed,Free,End of fieldwork,15 to 19 years old
Belgium,BE,BEL,56,Percentage of adolescents (aged 15-19 years) in the labour force who are unemployed,2024,26.8,Male,,%,Reanalysed,Free,End of fieldwork,15 to 19 years old
Belgium,BE,BEL,56,Percentage of adolescents (aged 15-19 years) in the labour force who are unemployed,2024,24.2,Total,,%,Reanalysed,Free,End of fieldwork,15 to 19 years old
Belize,BZ,BLZ,84,Percentage of adolescents (aged 15-19 years) in the labour force who are unemployed,2019,34.4,Female,,%,Reanalysed,Free,End of fieldwork,15 to 19 years old
Belize,BZ,BLZ,84,Percentage of adolescents (aged 15-19 years) in the labour force who are unemployed,2019,14.9,Male,,%,Reanalysed,Free,End of fieldwork,15 to 19 years old
Belize,BZ,BLZ,84,Percentage of adolescents (aged 15-19 years) in the labour force who are unemployed,2019,22.2,Total,,%,Reanalysed,Free,End of fieldwork,15 to 19 years old
Benin,BJ,BEN,204,Percentage of adolescents (aged 15-19 years) in the labour force who are unemployed,2022,1.7,Female,,%,Reanalysed,Free,End of fieldwork,15 to 19 years old
Benin,BJ,BEN,204,Percentage of adolescents (aged 15-19 years) in the labour force who are unemployed,2022,2.5,Male,,%,Reanalysed,Free,End of fieldwork,15 to 19 years old
Benin,BJ,BEN,204,Percentage of adolescents (aged 15-19 years) in the labour force who are unemployed,2022,2.1,Total,,%,Reanalysed,Free,End of fieldwork,15 to 19 years old
Bolivia,BO,BOL,68,Percentage of adolescents (aged 15-19 years) in the labour force who are unemployed,2023,3.4,Female,,%,Reanalysed,Free,End of fieldwork,15 to 19 years old
Bolivia,BO,BOL,68,Percentage of adolescents (aged 15-19 years) in the labour force who are unemployed,2023,3.6,Male,,%,Reanalysed,Free,End of fieldwork,15 to 19 years old
Bolivia,BO,BOL,68,Percentage of adolescents (aged 15-19 years) in the labour force who are unemployed,2023,3.5,Total,,%,Reanalysed,Free,End of fieldwork,15 to 19 years old
Bosnia and Herzegovina,BA,BIH,70,Percentage of adolescents (aged 15-19 years) in the labour force who are unemployed,2023,26.5,Female,,%,Reanalysed,Free,End of fieldwork,15 to 19 years old
Bosnia and Herzegovina,BA,BIH,70,Percentage of adolescents (aged 15-19 years) in the labour force who are unemployed,2023,45.6,Male,,%,Reanalysed,Free,End of fieldwork,15 to 19 years old
Bosnia and Herzegovina,BA,BIH,70,Percentage of adolescents (aged 15-19 years) in the labour force who are unemployed,2023,40.6,Total,,%,Reanalysed,Free,End of fieldwork,15 to 19 years old
Botswana,BW,BWA,72,Percentage of adolescents (aged 15-19 years) in the labour force who are unemployed,2023,73.7,Female,,%,Reanalysed,Free,End of fieldwork,15 to 19 years old
Botswana,BW,BWA,72,Percentage of adolescents (aged 15-19 years) in the labour force who are unemployed,2023,45.1,Male,,%,Reanalysed,Free,End of fieldwork,15 to 19 years old
Botswana,BW,BWA,72,Percentage of adolescents (aged 15-19 years) in the labour force who are unemployed,2023,54.9,Total,,%,Reanalysed,Free,End of fieldwork,15 to 19 years old
Brazil,BR,BRA,76,Percentage of adolescents (aged 15-19 years) in the labour force who are unemployed,2024,27.5,Female,,%,Reanalysed,Free,End of fieldwork,15 to 19 years old
Brazil,BR,BRA,76,Percentage of adolescents (aged 15-19 years) in the labour force who are unemployed,2024,20.5,Male,,%,Reanalysed,Free,End of fieldwork,15 to 19 years old
Brazil,BR,BRA,76,Percentage of adolescents (aged 15-19 years) in the labour force who are unemployed,2024,23.5,Total,,%,Reanalysed,Free,End of fieldwork,15 to 19 years old
Brunei Darussalam,BN,BRN,96,Percentage of adolescents (aged 15-19 years) in the labour force who are unemployed,2023,38.8,Female,,%,Reanalysed,Free,End of fieldwork,15 to 19 years old
Brunei Darussalam,BN,BRN,96,Percentage of adolescents (aged 15-19 years) in the labour force who are unemployed,2023,31.8,Male,,%,Reanalysed,Free,End of fieldwork,15 to 19 years old
Brunei Darussalam,BN,BRN,96,Percentage of adolescents (aged 15-19 years) in the labour force who are unemployed,2023,34.5,Total,,%,Reanalysed,Free,End of fieldwork,15 to 19 years old
Burkina Faso,BF,BFA,854,Percentage of adolescents (aged 15-19 years) in the labour force who are unemployed,2024,6.9,Female,,%,Reanalysed,Free,End of fieldwork,15 to 19 years old
Burkina Faso,BF,BFA,854,Percentage of adolescents (aged 15-19 years) in the labour force who are unemployed,2024,4.6,Male,,%,Reanalysed,Free,End of fieldwork,15 to 19 years old
Burkina Faso,BF,BFA,854,Percentage of adolescents (aged 15-19 years) in the labour force who are unemployed,2024,5.5,Total,,%,Reanalysed,Free,End of fieldwork,15 to 19 years old
Burundi,BI,BDI,108,Percentage of adolescents (aged 15-19 years) in the labour force who are unemployed,2020,1,Female,,%,Reanalysed,Free,End of fieldwork,15 to 19 years old
Burundi,BI,BDI,108,Percentage of adolescents (aged 15-19 years) in the labour force who are unemployed,2020,2.3,Male,,%,Reanalysed,Free,End of fieldwork,15 to 19 years old
Burundi,BI,BDI,108,Percentage of adolescents (aged 15-19 years) in the labour force who are unemployed,2020,1.6,Total,,%,Reanalysed,Free,End of fieldwork,15 to 19 years old
Cambodia,KH,KHM,116,Percentage of adolescents (aged 15-19 years) in the labour force who are unemployed,2021,0.9,Total,,%,Reanalysed,Free,End of fieldwork,15 to 19 years old
Cameroon,CM,CMR,120,Percentage of adolescents (aged 15-19 years) in the labour force who are unemployed,2021,4,Female,,%,Reanalysed,Free,End of fieldwork,15 to 19 years old
Cameroon,CM,CMR,120,Percentage of adolescents (aged 15-19 years) in the labour force who are unemployed,2021,3.7,Male,,%,Reanalysed,Free,End of fieldwork,15 to 19 years old
Cameroon,CM,CMR,120,Percentage of adolescents (aged 15-19 years) in the labour force who are unemployed,2021,3.8,Total,,%,Reanalysed,Free,End of fieldwork,15 to 19 years old
Canada,CA,CAN,124,Percentage of adolescents (aged 15-19 years) in the labour force who are unemployed,2024,16.9,Female,,%,Reanalysed,Free,End of fieldwork,15 to 19 years old
Canada,CA,CAN,124,Percentage of adolescents (aged 15-19 years) in the labour force who are unemployed,2024,19.6,Male,,%,Reanalysed,Free,End of fieldwork,15 to 19 years old
Canada,CA,CAN,124,Percentage of adolescents (aged 15-19 years) in the labour force who are unemployed,2024,18.2,Total,,%,Reanalysed,Free,End of fieldwork,15 to 19 years old
Cayman Islands,KY,CYM,136,Percentage of adolescents (aged 15-19 years) in the labour force who are unemployed,2015,37.7,Female,,%,Reanalysed,Free,End of fieldwork,15 to 19 years old
Cayman Islands,KY,CYM,136,Percentage of adolescents (aged 15-19 years) in the labour force who are unemployed,2015,32,Male,,%,Reanalysed,Free,End of fieldwork,15 to 19 years old
Cayman Islands,KY,CYM,136,Percentage of adolescents (aged 15-19 years) in the labour force who are unemployed,2015,34.7,Total,,%,Reanalysed,Free,End of fieldwork,15 to 19 years old
Chad,TD,TCD,148,Percentage of adolescents (aged 15-19 years) in the labour force who are unemployed,2018,2.5,Male,,%,Reanalysed,Free,End of fieldwork,15 to 19 years old
Chad,TD,TCD,148,Percentage of adolescents (aged 15-19 years) in the labour force who are unemployed,2018,1.7,Total,,%,Reanalysed,Free,End of fieldwork,15 to 19 years old
Chile,CL,CHL,152,Percentage of adolescents (aged 15-19 years) in the labour force who are unemployed,2024,31.2,Female,,%,Reanalysed,Free,End of fieldwork,15 to 19 years old
Chile,CL,CHL,152,Percentage of adolescents (aged 15-19 years) in the labour force who are unemployed,2024,24.7,Male,,%,Reanalysed,Free,End of fieldwork,15 to 19 years old
Chile,CL,CHL,152,Percentage of adolescents (aged 15-19 years) in the labour force who are unemployed,2024,27.5,Total,,%,Reanalysed,Free,End of fieldwork,15 to 19 years old
Hong Kong,HK,HKG,344,Percentage of adolescents (aged 15-19 years) in the labour force who are unemployed,2024,11.9,Male,,%,Reanalysed,Free,End of fieldwork,15 to 19 years old
Hong Kong,HK,HKG,344,Percentage of adolescents (aged 15-19 years) in the labour force who are unemployed,2024,10.5,Total,,%,Reanalysed,Free,End of fieldwork,15 to 19 years old
"Taiwan, Province of China",TW,TWN,158,Percentage of adolescents (aged 15-19 years) in the labour force who are unemployed,2020,11.6,Female,,%,Reanalysed,Free,End of fieldwork,15 to 19 years old
"Taiwan, Province of China",TW,TWN,158,Percentage of adolescents (aged 15-19 years) in the labour force who are unemployed,2020,5.7,Male,,%,Reanalysed,Free,End of fieldwork,15 to 19 years old
"Taiwan, Province of China",TW,TWN,158,Percentage of adolescents (aged 15-19 years) in the labour force who are unemployed,2020,8.1,Total,,%,Reanalysed,Free,End of fieldwork,15 to 19 years old
Colombia,CO,COL,170,Percentage of adolescents (aged 15-19 years) in the labour force who are unemployed,2024,29.2,Female,,%,Reanalysed,Free,End of fieldwork,15 to 19 years old
Colombia,CO,COL,170,Percentage of adolescents (aged 15-19 years) in the labour force who are unemployed,2024,18.2,Male,,%,Reanalysed,Free,End of fieldwork,15 to 19 years old
Colombia,CO,COL,170,Percentage of adolescents (aged 15-19 years) in the labour force who are unemployed,2024,22.3,Total,,%,Reanalysed,Free,End of fieldwork,15 to 19 years old
Comoros,KM,COM,174,Percentage of adolescents (aged 15-19 years) in the labour force who are unemployed,2021,7.3,Male,,%,Reanalysed,Free,End of fieldwork,15 to 19 years old
Comoros,KM,COM,174,Percentage of adolescents (aged 15-19 years) in the labour force who are unemployed,2021,6.4,Total,,%,Reanalysed,Free,End of fieldwork,15 to 19 years old
Costa Rica,CR,CRI,188,Percentage of adolescents (aged 15-19 years) in the labour force who are unemployed,2024,33.9,Female,,%,Reanalysed,Free,End of fieldwork,15 to 19 years old
Costa Rica,CR,CRI,188,Percentage of adolescents (aged 15-19 years) in the labour force who are unemployed,2024,26.6,Male,,%,Reanalysed,Free,End of fieldwork,15 to 19 years old
Costa Rica,CR,CRI,188,Percentage of adolescents (aged 15-19 years) in the labour force who are unemployed,2024,29.5,Total,,%,Reanalysed,Free,End of fieldwork,15 to 19 years old
Czech Republic,CZ,CZE,203,Percentage of adolescents (aged 15-19 years) in the labour force who are unemployed,2024,25.5,Female,,%,Reanalysed,Free,End of fieldwork,15 to 19 years old
Czech Republic,CZ,CZE,203,Percentage of adolescents (aged 15-19 years) in the labour force who are unemployed,2024,28.6,Male,,%,Reanalysed,Free,End of fieldwork,15 to 19 years old
Czech Republic,CZ,CZE,203,Percentage of adolescents (aged 15-19 years) in the labour force who are unemployed,2024,27.2,Total,,%,Reanalysed,Free,End of fieldwork,15 to 19 years old
Ivory Coast,CI,CIV,384,Percentage of adolescents (aged 15-19 years) in the labour force who are unemployed,2022,3.2,Female,,%,Reanalysed,Free,End of fieldwork,15 to 19 years old
Ivory Coast,CI,CIV,384,Percentage of adolescents (aged 15-19 years) in the labour force who are unemployed,2022,2.5,Male,,%,Reanalysed,Free,End of fieldwork,15 to 19 years old
Ivory Coast,CI,CIV,384,Percentage of adolescents (aged 15-19 years) in the labour force who are unemployed,2022,2.8,Total,,%,Reanalysed,Free,End of fieldwork,15 to 19 years old
"Congo, the Democratic Republic of the",CD,COD,180,Percentage of adolescents (aged 15-19 years) in the labour force who are unemployed,2020,1,Total,,%,Reanalysed,Free,End of fieldwork,15 to 19 years old
Denmark,DK,DNK,208,Percentage of adolescents (aged 15-19 years) in the labour force who are unemployed,2024,18.1,Female,,%,Reanalysed,Free,End of fieldwork,15 to 19 years old
Denmark,DK,DNK,208,Percentage of adolescents (aged 15-19 years) in the labour force who are unemployed,2024,19.2,Male,,%,Reanalysed,Free,End of fieldwork,15 to 19 years old
Denmark,DK,DNK,208,Percentage of adolescents (aged 15-19 years) in the labour force who are unemployed,2024,18.7,Total,,%,Reanalysed,Free,End of fieldwork,15 to 19 years old
Djibouti,DJ,DJI,262,Percentage of adolescents (aged 15-19 years) in the labour force who are unemployed,2017,84.5,Female,,%,Reanalysed,Free,End of fieldwork,15 to 19 years old
Djibouti,DJ,DJI,262,Percentage of adolescents (aged 15-19 years) in the labour force who are unemployed,2017,88.2,Male,,%,Reanalysed,Free,End of fieldwork,15 to 19 years old
Djibouti,DJ,DJI,262,Percentage of adolescents (aged 15-19 years) in the labour force who are unemployed,2017,86.7,Total,,%,Reanalysed,Free,End of fieldwork,15 to 19 years old
Dominican Republic,DO,DOM,214,Percentage of adolescents (aged 15-19 years) in the labour force who are unemployed,2023,18.6,Female,,%,Reanalysed,Free,End of fieldwork,15 to 19 years old
Dominican Republic,DO,DOM,214,Percentage of adolescents (aged 15-19 years) in the labour force who are unemployed,2023,12.6,Male,,%,Reanalysed,Free,End of fieldwork,15 to 19 years old
